ensembl_id,found,gene_symbol,full_name,uniprot,GO_biological_process,GO_molecular_function,GO_cellular_component,kegg_pathways,reactome_pathways,omim,subcellular_location,pfam_domains,summary,atp_impact_pct,complex,category
ENSMUSG00000030884,True,Uqcrc2,ubiquinol cytochrome c reductase core protein 2,Q9DB77,"mitochondrial electron transport, ubiquinol to cytochrome c; proteolysis; response to xenobiotic stimulus; cellular respiration",metalloendopeptidase activity; protein binding; protein-containing complex binding; protein-containing complex binding; metal ion binding,nucleoplasm; mitochondrion; mitochondrion; mitochondrion; mitochondrion,Oxidative phosphorylation - Mus musculus (mouse); Cardiac muscle contraction - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Metabolism of proteins,,,PF00675; PF05193,,97.9215,Complex III,CIII structural
ENSMUSG00000063882,True,Uqcrh,ubiquinol-cytochrome c reductase hinge protein,P99028,"mitochondrial electron transport, ubiquinol to cytochrome c; mitochondrial electron transport, ubiquinol to cytochrome c; mitochondrial electron transport, ubiquinol to cytochrome c; cellular respiration; proton transmembrane transport",quinol-cytochrome-c reductase activity; quinol-cytochrome-c reductase activity; protein-containing complex binding,mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Cardiac muscle contraction - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF02320,,97.9215,Complex III,CIII structural
ENSMUSG00000021520,True,Uqcrb,ubiquinol-cytochrome c reductase binding protein,,"mitochondrial electron transport, ubiquinol to cytochrome c; mitochondrial electron transport, ubiquinol to cytochrome c; mitochondrial electron transport, ubiquinol to cytochrome c; cellular respiration",protein-containing complex binding,mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Cardiac muscle contraction - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),,,,PF02271,,97.9215,Complex III,CIII structural
ENSMUSG00000063694,True,Cycs,"cytochrome c, somatic",P62897,"mitochondrial electron transport, ubiquinol to cytochrome c; mitochondrial electron transport, cytochrome c to oxygen; apoptotic process; hydrogen peroxide metabolic process; hydrogen peroxide metabolic process",electron transfer activity; electron transfer activity; enzyme binding; heme binding; heme binding,nucleus; mitochondrion; mitochondrion; mitochondrion; mitochondrial intermembrane space,Oxidative phosphorylation - Mus musculus (mouse); p53 signaling pathway - Mus musculus (mouse); Apoptosis - Mus musculus (mouse),Apoptosis; Intrinsic Pathway for Apoptosis; Release of apoptotic factors from the mitochondria,,,PF00034,,97.9215,Complex III,TCA cycle
ENSMUSG00000022551,True,Cyc1,cytochrome c-1,Q9D0M3,"mitochondrial electron transport, ubiquinol to cytochrome c; mitochondrial electron transport, ubiquinol to cytochrome c; response to glucagon; response to glucagon; cellular respiration",protein binding; quinol-cytochrome-c reductase activity; electron transfer activity; heme binding,mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Cardiac muscle contraction - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF02167,,97.9215,Complex III,CIII structural
ENSMUSG00000061904,True,Slc25a3,"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3",Q8VEM8,phosphate ion transmembrane transport; proton transmembrane transport; mitochondrial phosphate ion transmembrane transport,phosphate transmembrane transporter activity; phosphate transmembrane transporter activity; phosphate:proton symporter activity; protein-containing complex binding; protein-containing complex binding,mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane,,,,,PF00153,,96.2946,Other,SLC25 transporter
ENSMUSG00000005683,True,Cs,citrate synthase,Q9CZU6,carbohydrate metabolic process; carbohydrate metabolic process; carbohydrate metabolic process; acetyl-CoA metabolic process; tricarboxylic acid cycle,citrate synthase activity; citrate synthase activity; citrate synthase activity; citrate synthase activity; citrate synthase activity,mitochondrion; mitochondrion; mitochondrion; mitochondrial matrix; mitochondrial matrix,Citrate cycle (TCA cycle) - Mus musculus (mouse); Glyoxylate and dicarboxylate metabolism - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Metabolism of proteins,,,PF00285,"The protein encoded by this gene is a central metabolic pathway enzyme, catalyzing the first step of the tricarboxylic acid cycle in which acetyl coenzyme A and oxaloacetate are converted to citrate and coenzyme A. This enzyme is found in nearly all cells capable of oxidative metabolism. This protei",95.0457,Other,TCA cycle
ENSMUSG00000034566,True,Atp5pd,ATP synthase peripheral stalk subunit d,Q9DCX2,proton motive force-driven ATP synthesis; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; proton transmembrane transport,"protein binding; proton transmembrane transporter activity; protein-containing complex binding; proton-transporting ATP synthase activity, rotational mechanism; proton-transporting ATP synthase activity, rotational mechanism",mitochondrion; mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Alzheimer disease - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Mitochondrial biogenesis,,,PF05873,,92.5082,Complex V,CV structural
ENSMUSG00000003072,True,Atp5f1d,ATP synthase F1 subunit delta,Q9D3D9,aerobic respiration; aerobic respiration; aerobic respiration; proton motive force-driven ATP synthesis; proton motive force-driven ATP synthesis,structural molecule activity; structural molecule activity; structural molecule activity; proton transmembrane transporter activity; ATP hydrolysis activity,mitochondrion; mitochondrion; mitochondrion; mitochondrial envelope; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Alzheimer disease - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Mitochondrial biogenesis,,,PF02823; PF21335,,92.5082,Complex V,CV structural
ENSMUSG00000000563,True,Atp5pb,ATP synthase peripheral stalk-membrane subunit b,Q9CQQ7,proton motive force-driven ATP synthesis; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; proton transmembrane transport,"proton transmembrane transporter activity; ATP hydrolysis activity; protein-containing complex binding; proton-transporting ATP synthase activity, rotational mechanism; proton-transporting ATP synthase activity, rotational mechanism",mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Alzheimer disease - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Mitochondrial biogenesis,,,PF05405,,92.5082,Complex V,CV structural
ENSMUSG00000025781,True,Atp5f1c,ATP synthase F1 subunit gamma,Q91VR2,proton motive force-driven ATP synthesis; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis,"protein binding; ATP hydrolysis activity; proton-transporting ATP synthase activity, rotational mechanism; proton-transporting ATP synthase activity, rotational mechanism; proton-transporting ATP synthase activity, rotational mechanism",mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Alzheimer disease - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Mitochondrial biogenesis,,,PF00231,,92.5082,Complex V,CV structural
ENSMUSG00000016252,True,Atp5f1e,ATP synthase F1 subunit epsilon,P56382,proton motive force-driven ATP synthesis; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; proton transmembrane transport,"P-type proton-exporting transporter activity; ATP hydrolysis activity; protein-containing complex binding; proton-transporting ATP synthase activity, rotational mechanism; proton-transporting ATP synthase activity, rotational mechanism",mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Alzheimer disease - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Mitochondrial biogenesis,,,PF04627,,92.5082,Complex V,CV structural
ENSMUSG00000022956,True,Atp5po,ATP synthase peripheral stalk subunit OSCP,Q9DB20,proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; cellular response to cAMP,"ATP hydrolysis activity; ATP hydrolysis activity; protein-containing complex binding; protein-containing complex binding; proton-transporting ATP synthase activity, rotational mechanism",mitochondrion; mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Alzheimer disease - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Mitochondrial biogenesis,,,PF00213,,92.5082,Complex V,CV structural
ENSMUSG00000038690,True,Atp5mf,ATP synthase membrane subunit f,P56135,proton motive force-driven mitochondrial ATP synthesis; proton motive force-driven mitochondrial ATP synthesis,"proton-transporting ATP synthase activity, rotational mechanism; proton-transporting ATP synthase activity, rotational mechanism",mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Mitochondrial biogenesis,,,PF10206,,92.5082,Complex V,CV structural
ENSMUSG00000038717,True,Atp5mg,ATP synthase membrane subunit g,Q9CPQ8,proton motive force-driven ATP synthesis; proton motive force-driven ATP synthesis; proton motive force-driven ATP synthesis; proton transmembrane transport,"P-type proton-exporting transporter activity; proton transmembrane transporter activity; proton-transporting ATP synthase activity, rotational mechanism; proton-transporting ATP synthase activity, rotational mechanism",mitochondrion; mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Mitochondrial biogenesis,,,PF04718,,92.5082,Complex V,CV structural
ENSMUSG00000025393,True,Atp5f1b,ATP synthase F1 subunit beta,P56480,angiogenesis; angiogenesis; lipid metabolic process; ATP biosynthetic process; ATP biosynthetic process,calcium ion binding; protein binding; ATP binding; ATP binding; ATP hydrolysis activity,cytoplasm; mitochondrion; mitochondrion; mitochondrion; mitochondrion,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Alzheimer disease - Mus musculus (mouse),Mitochondrial protein import; Aerobic respiration and respiratory electron transport; Metabolism,,,PF00006; PF02874; PF22919,,92.5082,Complex V,CV structural
ENSMUSG00000050856,True,Atp5me,ATP synthase membrane subunit e,Q06185,proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; proton transmembrane transport,"proton transmembrane transporter activity; protein-containing complex binding; protein-containing complex binding; proton-transporting ATP synthase activity, rotational mechanism; proton-transporting ATP synthase activity, rotational mechanism",mitochondrion; mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Mitochondrial biogenesis,,,PF05680,,92.5082,Complex V,CV structural
ENSMUSG00000022890,True,Atp5pf,ATP synthase peripheral stalk subunit F6,P97450,positive regulation of heart rate; proton motive force-driven ATP synthesis; negative regulation of prostaglandin secretion; proton motive force-driven mitochondrial ATP synthesis; positive regulation of blood pressure,"proton transmembrane transporter activity; ATP hydrolysis activity; protein-containing complex binding; proton-transporting ATP synthase activity, rotational mechanism",extracellular region; mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Alzheimer disease - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Mitochondrial biogenesis,,,PF05511,"The protein encoded by this gene is a component of mitochondrial adenosine triphosphate synthase, which catalyzes the conversion of ATP from ADP. Mitochondrial adenosine triphosphate synthase consists of extrinsic and intrinsic membrane domains that are joined by a stalk. The protein encoded by this",92.5082,Complex V,CV structural
ENSMUSG00000025428,True,Atp5f1a,ATP synthase F1 subunit alpha,Q03265,negative regulation of endothelial cell proliferation; negative regulation of endothelial cell proliferation; lipid metabolic process; ATP biosynthetic process; ATP biosynthetic process,protease binding; protease binding; protein binding; ATP binding; ATP binding,mitochondrion; mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Alzheimer disease - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Mitochondrial biogenesis,,,PF00006; PF00306; PF02874,,92.5082,Complex V,CV structural
ENSMUSG00000037152,True,Ndufc1,NADH:ubiquinone oxidoreductase subunit C1,Q9CQY9,aerobic respiration; proton motive force-driven mitochondrial ATP synthesis,molecular_function,mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF15088,,85.1467,Complex I,CI structural
ENSMUSG00000013593,True,Ndufs2,NADH:ubiquinone oxidoreductase core subunit S2,Q91WD5,"mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; aerobic respiration",NADH dehydrogenase activity; NADH dehydrogenase activity; NADH dehydrogenase activity; protein binding; NADH dehydrogenase (ubiquinone) activity,mitochondrion; mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF00346,,85.1467,Complex I,CI structural
ENSMUSG00000024038,True,Ndufv3,NADH:ubiquinone oxidoreductase core subunit V3,Q8BK30,aerobic respiration; mitochondrial ATP synthesis coupled electron transport; mitochondrial ATP synthesis coupled electron transport; proton motive force-driven mitochondrial ATP synthesis,,mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Metabolism of proteins,,,PF15880,,85.1467,Complex I,CI structural
ENSMUSG00000071014,True,Ndufb6,NADH:ubiquinone oxidoreductase subunit B6,Q3UIU2,"mitochondrial electron transport, NADH to ubiquinone; aerobic respiration; mitochondrial ATP synthesis coupled electron transport; mitochondrial ATP synthesis coupled electron transport; mitochondrial ATP synthesis coupled electron transport",,nucleoplasm; mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF09782,This gene encodes a subunit of complex I (NADH:ubiquinone oxidoreductase) of the mitochondrial respiratory chain. This complex functions in electron transport and generation of a proton gradient across the inner mitochondrial membrane to drive ATP synthesis. Data from human cell lines suggests that ,85.1467,Complex I,CI structural
ENSMUSG00000000399,True,Ndufa9,NADH:ubiquinone oxidoreductase subunit A9,Q9DC69,ubiquinone biosynthetic process; circadian rhythm; circadian rhythm; circadian rhythm; aerobic respiration,NADH dehydrogenase activity; NADH dehydrogenase activity; protein binding; protein-containing complex binding; protein-containing complex binding,mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF05368,,85.1467,Complex I,CI structural
ENSMUSG00000063856,True,Gpx1,glutathione peroxidase 1,P11352,response to reactive oxygen species; temperature homeostasis; endothelial cell development; negative regulation of inflammatory response to antigenic stimulus; negative regulation of inflammatory response to antigenic stimulus,peroxidase activity; peroxidase activity; glutathione peroxidase activity; glutathione peroxidase activity; glutathione peroxidase activity,cytoplasm; cytoplasm; cytoplasm; mitochondrion; mitochondrion,Glutathione metabolism - Mus musculus (mouse); Arachidonic acid metabolism - Mus musculus (mouse); Thyroid hormone synthesis - Mus musculus (mouse),Metabolism; Synthesis of 12-eicosatetraenoic acid derivatives; Arachidonate metabolism,,,PF00255,"The protein encoded by this gene belongs to the glutathione peroxidase family, members of which catalyze the reduction of organic hydroperoxides and hydrogen peroxide (H2O2) by glutathione, and thereby protect cells against oxidative damage. Knockout mice lacking this gene are highly sensitive to ox",85.1467,Other,Other mitochondrial
ENSMUSG00000030869,True,Ndufab1,NADH:ubiquinone oxidoreductase subunit AB1,Q9CR21,fatty acid biosynthetic process; aerobic respiration; protein lipoylation; protein lipoylation; iron-sulfur cluster assembly,acyl binding; acyl carrier activity; structural molecule activity; structural molecule activity; mitochondrial large ribosomal subunit binding,nucleoplasm; mitochondrion; mitochondrion; mitochondrion; mitochondrion,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Metabolism of proteins,,,PF00550,,85.1467,Complex I,CI assembly factor
ENSMUSG00000031584,True,Gsr,glutathione reductase,P47791,glutathione metabolic process; glutathione metabolic process; glutathione metabolic process; glutathione metabolic process; spermatogenesis,glutathione-disulfide reductase (NADPH) activity; glutathione-disulfide reductase (NADPH) activity; glutathione-disulfide reductase (NADPH) activity; glutathione-disulfide reductase (NADPH) activity; oxidoreductase activity,cytoplasm; mitochondrion; mitochondrion; mitochondrion; cytosol,Glutathione metabolism - Mus musculus (mouse); Thyroid hormone synthesis - Mus musculus (mouse); Diabetic cardiomyopathy - Mus musculus (mouse),Metabolism; Metabolism of nucleotides; Generic Transcription Pathway,,,PF02852; PF07992,,85.1467,Other,Other mitochondrial
ENSMUSG00000021764,True,Ndufs4,NADH:ubiquinone oxidoreductase core subunit S4,Q9CXZ1,regulation of protein phosphorylation; respiratory system process; oxidative phosphorylation; inflammatory response; brain development,NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase (ubiquinone) activity,mitochondrion; mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF04800,,85.1467,Complex I,CI structural
ENSMUSG00000024099,True,Ndufv2,NADH:ubiquinone oxidoreductase core subunit V2,Q9D6J6,"mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; nervous system development",NADH dehydrogenase activity; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase (ubiquinone) activity,mitochondrion; mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF01257,"This gene encodes a subunit of the NADH-ubiquinone oxidoreductase (complex I) enzyme, which is a large, multimeric protein. It is the first enzyme complex in the mitochondrial electron transport chain and catalyzes the transfer of electrons from NADH to the electron acceptor ubiquinone. The proton g",85.1467,Complex I,CI structural
ENSMUSG00000059734,True,Ndufs8,NADH:ubiquinone oxidoreductase core subunit S8,Q8K3J1,"mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; aerobic respiration",NADH dehydrogenase activity; NADH dehydrogenase activity; NADH dehydrogenase activity; protein binding; NADH dehydrogenase (ubiquinone) activity,mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF12838,,85.1467,Complex I,CI structural
ENSMUSG00000005510,True,Ndufs3,NADH:ubiquinone oxidoreductase core subunit S3,Q9DCT2,"mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; aerobic respiration; mitochondrial respiratory chain complex I assembly",NADH dehydrogenase activity; NADH dehydrogenase activity; protein binding; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase (ubiquinone) activity,mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Signal Transduction,,,PF00329,,85.1467,Complex I,CI assembly factor
